,text
14,"Zukunft sichern Ein kurzer Blick in die Zukunft: Spätestens 2050 werden wir klimaneutral wirtschaften. Windkraft und Sonne sind unsere Energiequellen, unterstützt durch eine saubere Wasserstoffwirtschaft. Öffentliche Gebäude, Schulen und Supermärkte beziehen Solarstrom und klimafreundliches Unternehmertum wird finanziell belohnt. Wir sehen in dieser Jahrhundertaufgabe riesige Potenziale für gute und sichere Arbeitsplätze. Deutschland ist erfolgreich als Exporteur umweltfreundlicher Technologien, weil es gelungen ist, Produktionsprozesse nachhaltig und die 20er zu einem Jahrzehnt der erneuerbaren Energien zu machen."
15,"Den sozial-ökologischen Umbau der Wirtschaft meistern wir, wenn wir wirtschaftlichen Erfolg zukünftig nicht nur am Bruttoinlandsprodukt messen, sondern am Wohlergehen der gesamten Gesellschaft und der Natur. Wenn der Staat maßgebliche Impulse gibt, durch kluge Spielregeln, die soziale und technische Innovationen hervorbringen, durch Förderung von Wissenschaft und Forschung, massive und stetige Investitionen in eine moderne Infrastruktur, durch aktive Förderung der Regionen im Wandel und durch Beteiligung der Bürger*innen im Allgemeinen und der Beschäftigten im Besonderen. So werden Arbeitsplätze zukunftsfähig und neue gute Arbeitsplätze geschaffen. So sichern wir Einkommen und Perspektiven für alle. Wir wollen einen neuen sozial-ökologischen Gesellschaftsvertrag, der dafür sorgt, dass im Wandel niemand abgehängt wird."
16,"Respekt erneuern Die Corona-Krise hat uns allen in Deutschland vor Augen geführt, wie sehr wir in unserem Alltag auf die Arbeit derjenigen angewiesen sind, deren Einkommen bislang oft nur knapp zum Leben reicht. Die Kassierer*innen im Supermarkt, die Busfahrer*innen, Reinigungskräfte, Pflegekräfte und Erzieher*innen verdienen mehr Anerkennung – die sich auch in guten Einkommen und in guten Arbeitsbedingungen niederschlägt."
17,"Wie wertvoll ein funktionierender Sozialstaat ist, haben wir in der Corona-Krise erlebt. Anders als in anderen Ländern haben wir die Folgen der Krise abmildern können. Erkennbar wurde aber auch, wo wir als Gesellschaft noch viel zu tun haben. Bei der immer noch nicht vollendeten Gleichstellung von Männern und Frauen, die sich vor allem daran zeigte, dass sich viele unvermittelt in alte Rollenmodelle zurückversetzt gesehen haben. Auch bei der unzureichenden Absicherung von Künstler*innen und Selbstständigen, den überteuerten Wohnungen nicht nur in den Ballungszentren und der mangelnden Infrastruktur im ländlichen Raum gibt es noch viel zu tun."
18,"Respekt vor der Würde aller Bürger*innen heißt für uns, dass alle ein Recht auf gleiche Verwirklichungschancen und ein sicheres Leben haben. Eine Wohnung, ein KitaPlatz, Zugang zu kostenloser Bildung, Mobilität, Kultur, Sport, einen schnellen Internetanschluss, Zugang zum Wissen dieser Welt, verlässliche digitale Dienste für eine aktive Zivilgesellschaft, Gesundheitsversorgung, Mitbestimmung im Arbeitsleben, eine sichere Rente, gute Pflege im Alter, das sind für uns soziale Grundrechte und die Voraussetzungen für die Stabilität von Familie und Gesellschaft."
19,"Wir treten für eine Gesellschaft ein, die von gegenseitigem Respekt getragen wird. Eine Gesellschaft, die, frei von Vorurteilen, alle Bürger*innen gleichermaßen respektiert. Wir schulden einander Respekt, egal ob eine*r studiert hat oder nicht, ob in Deutschland oder woanders, im Osten oder Westen geboren, ob weiblich, männlich oder divers, ob jung oder alt, arm oder reich, ob mit Behinderung oder ohne. Für die Würde und Wertschätzung jeder und jedes einzelnen darf das keinen Unterschied machen. Wir wollen eine Gesellschaft des Zusammenhalts und stellen uns Hass und Hetze, jedweder Art von Ausgrenzung und Diskriminierung und dem Erstarken rechtsextremer Kräfte mit aller Entschiedenheit entgegen."
20,"Wir wollen gleichwertige Lebensverhältnisse in ganz Deutschland schaffen. Dazu gehört auch, die deutsche Einheit zu vollenden und das Ungleichgewicht zwischen Metropole und Peripherie, zwischen traditionellen Industrieregionen und neuen Boom-Zonen,"
21,"Zwischen Stadt und Land zu reduzieren. Gerade hier zeigen sich die Herausforderungen großer gesellschaftlicher Transformationsprozesse und des Strukturwandels. Dabei sind der Respekt und die Anerkennung der spezifisch ostdeutschen Lebenserfahrungen und Lebensleistungen zentral, um das Vertrauen in die Demokratie weiter zu stärken. Unser Ziel ist, die Sichtbarkeit der Ostdeutschen in allen Bereichen zu erhöhen."
22,"Europa stärken Grenzenlos reisen, arbeiten, studieren oder leben. Die Europäische Union (EU) hat das Leben von Millionen von Menschen geprägt, neue Möglichkeiten und Freiheiten eröffnet und den unermesslichen Wert kultureller Vielfalt für unsere Gesellschaften für viele erlebbar gemacht. Sie hat gezeigt, dass wir gemeinsam mehr erreichen können. Darauf wird es in Zukunft ganz besonders ankommen."
23,"In einem von globalem Wettbewerb geprägten Umfeld können wir unsere europäischen Werte und Interessen nur behaupten, wenn Europa nach innen geeint und nach außen handlungsfähig ist. Wir wollen die Freiheit und Rechtstaatlichkeit in Europa schützen und die EU zur modernsten Demokratie der Welt machen. Wir wollen, dass Europa auch beim Klimaschutz Vorreiter wird. Wir wollen ein digital souveränes Europa auf der Basis einer wertebasierten digitalen Wirtschaft. Mit Investitionen in unsere gemeinsame Wirtschafts- und Innovationskraft stärken wir Europa als den modernsten, sozialsten, nachhaltigsten und wettbewerbsfähigsten Wirtschaftsraum der Welt und sichern so die Grundlagen unseres Wohlstands. Damit schaffen wir die Voraussetzungen für ein souveränes Europa, das für soziale Gerechtigkeit, Wohlstand und Menschenrechte steht und sich geschlossen für eine gerechtere, friedlichere und nachhaltigere Welt einsetzt."
24,"Nur miteinander werden wir eine humanitäre und solidarische Flüchtlingspolitik gewährleisten. Demokratie, Freiheit und Rechtsstaatlichkeit sind das Fundament unserer Gemeinschaft. Wir werden es nicht zulassen, dass nationalistischer Hass und populistische Hetze Europa spalten."
25,"Wir meinen es ernst mit der europäischen Solidarität. Wir haben zu Beginn der Pandemie schnell und kraftvoll gehandelt und den größten Wiederaufbaufonds der Geschichte der Europäischen Union auf den Weg gebracht – eine Solidarleistung, die die sozialen Folgen der Corona-Krise abmildert und die gleichzeitig den sozialökologischen Wandel vorabtreibt und Innovationen fördert. Europa bekommt dafür weltweite Anerkennung. Auf dieser Basis wollen wir neues Vertrauen in Europa aufbauen und eine wirtschaftliche und politische Spaltung der EU verhindern."
26,"Zusammenhalt wählen Wir haben vieles erreicht in der Regierungskoalition. Die Erfolge tragen eine erkennbar sozialdemokratische Handschrift. Dazu zählen die Verlängerung und die Erhöhung des Kurzarbeitergelds, der Corona-Kinderbonus und die Erhöhung des Kinderzuschlags sowie mehr Geld für den Kita-Ausbau, die Ausgestaltung des Corona Konjunkturpakets mit den Schwerpunkten der wirtschaftlichen Stabilisierung, der sozialen Sicherung und der ökologischen Transformation, dazu die deutliche Einschränkung von Werkvertrags- und Leiharbeit in der Fleischindustrie. Wir haben die Grundrente, die Mindestausbildungsvergütung, die Brückenteilzeit und die Abschaffung des Soli-Zuschlags für niedrige und mittlere Einkommen durchgesetzt."
27,"Bei der anstehenden Bundestagswahl geht es um Richtungsfragen. Es gibt die, die den Sozialstaat abbauen und Sozialleistungen kürzen wollen. Ihnen setzen wir das Konzept für einen Sozialstaat entgegen, der es allen ermöglicht, den Wandel zu meistern und kommenden Krisen zu trotzen. Denen, die gegen die Krise ansparen wollen und alle Lebensbereiche den Gesetzen des Marktes unterwerfen wollen, setzen wir zentrale Zukunftsmissionen mit konkreten Investitionsschwerpunkten entgegen."
28,"Für unser Streben nach mehr gegenseitigen Respekt in Deutschland, Europa und der Welt werben wir mit diesem Programm."
29,"II. Eine lebenswerte Zukunft Wir sehen viel Gutes. Wir sehen auch vieles, das man besser machen kann. Wir sehen aber auch Entwicklungen, die geändert oder gestoppt werden müssen, um eine gute Zukunft möglich zu machen. Deshalb werden wir in der Welt von morgen unseren Wohlstand sichern, erhalten und ausbauen und zugleich das Klima und die Umwelt schützen. Wir werden ermöglichen, dass alle Bürger*innen sicher leben und sich entfalten können."
30,"Viele Bürger*innen haben den Eindruck, dass staatliches Handeln oft einem Reparaturbetrieb gleicht. Mal wird da an einer Schraube gedreht, mal an einer anderen. Dieses politische “Klein-Klein” überwinden wir. Für uns geht es um die Bewältigung von Zukunftsaufgaben."
31,"Daher benennen wir vier Zukunftsmissionen, die für uns eine zentrale Bedeutung haben. Das gilt für den Kampf gegen den Klimawandel, für die Zukunft der Mobilität, für die Digitalisierung und für das Gesundheitssystem. Wir werden diese vier Zukunftsmissionen anpacken, um die Wirtschaft zu modernisieren, High-Tech in den Schlüsselbranchen zu fördern, unsere Lebensgrundlagen zu erhalten und die Arbeitsplätze der Zukunft zu schaffen."
32,"Die Umsetzung dieser Missionen braucht ein hohes Niveau öffentlicher Investitionen und eine sozial-ökologisch ausgerichtete Wirtschafts- und Finanzpolitik. Wir werden diese Missionen im Zusammenwirken mit Wissenschaft, Wirtschaft, Gewerkschaften und Zivilgesellschaft voranbringen und den klimafreundlichen Infrastrukturausbau auf Grundlage eines neuen, gesamtgesellschaftlichen Infrastrukturkonsenses gestalten. Darin zeigt sich unser Anspruch eines modernen und kooperativen Regierens."
33,Zukunftsmission I. Klimaneutrales Deutschland Unser Ziel: ein komplett klimaneutrales Deutschland – spätestens im Jahr 2050 und das ohne Atomkraft. Aber: Jahreszahlen sind erstmal nur Symbole. Mit dem Klimaschutzgesetz hat die SPD einen wirkungsvollen Kontrollmechanismus zur Erreichung der Klimaziele durchgesetzt. Der Ausstieg aus der Atomenergie ist bereits beschlossene Sache. Spätestens 2038 ist bei uns auch Schluss mit der Kohleverbrennung. Das sind historische Entscheidungen.
34,"Leben, Arbeiten und Wirtschaften hat spätestens 2050 keine negativen Auswirkungen mehr auf unser Klima. Die Energieversorgung Deutschlands basiert dann vollständig auf erneuerbaren Energien, unsere Gebäude werden effizient mit erneuerbaren Energien beheizt. Unsere Industrie ist auf den Weltmärkten weiterhin führend, gerade weil sie CO2-neutral produziert und Technologien exportiert, die die klimaneutrale Welt von morgen braucht. So sichern wir die Arbeitsplätze für die Zukunft und erreichen gleichzeitig unsere ökologischen Ziele."
35,"Um in Deutschland bis spätestens 2050 treibhausgasneutral leben, arbeiten und wirtschaften zu können, werden wir dafür sorgen, dass wir unseren Strom bis zum Jahr vollständig aus erneuerbaren Energien beziehen. Dafür müssen jetzt die richtigen Entscheidungen getroffen werden: Beim Ausbau der erneuerbaren Energien und der Digitalisierung der Stromnetze, bei der Steigerung der Energieeffizienz, beim Aufbau von Speichertechnologien und einer Wasserstoffproduktion sowie eines Transportnetzes, bei Investitionen in klimafreundliche Produktionsprozesse in der Industrie, bei der Modernisierung von Wohngebäuden, Fabriken und Schulen."
36,"Erneuerbarer Strom wird in allen Sektoren eingesetzt. Dort, wo eine direkte Elektrifizierung nicht sinnvoll ist, werden wir große Mengen Wasserstoff aus erneuerbaren Energien benötigen. Wasserstoff stößt bei der Verbrennung keinerlei Treibhausgase aus und ist gut speicherbar. Er ist reichlich vorhanden und lässt sich durch die Aufspaltung von Wasser in Sauerstoff und Wasserstoff erzeugen. Ohne sauberen Wasserstoff in großindustriell hergestelltem Maßstab ist Klimaneutralität nicht zu erreichen."
37,"Wir brauchen mehr Tempo beim Ausbau der Stromnetze, Wasserstoffleitungen und Ladesäulen für Elektroautos. Der Ausbau dieser Infrastrukturen muss dem Bedarf vorausgehen. Unsere Planungen für den Aufbau einer nachhaltigen Infrastruktur müssen."
38,"In einem Zukunftspakt zwischen Bund, Ländern, Kommunen und kommunalen Spitzenverbänden vereinbaren wir verbindliche Ausbauziele für die erneuerbaren Energien. Damit die Energiewende vor Ort zur Win-Win-Situation für alle wird, laden wir Bürger*innen und Gemeinden zum Mitmachen ein, indem wir Mieterstrom und gemeinschaftliche Eigenversorgung stärken, kommunale Beteiligungsmodelle ausweiten und nachhaltige Strom-Anleihen auflegen. Wir werden in der Umsetzung des Kohleausstiegs sicherstellen, dass die Kohleregionen verlässlich dabei unterstützt werden, neue Wertschöpfung und zukunftsfähige Arbeitsplätze aufzubauen."
39,"Wir wollen dafür sorgen, dass alle dazu geeigneten Dächer von öffentlichen Gebäuden und gewerblichen Neubauten eine Solaranlage bekommen. Unser Ziel ist eine Solaranlage auf jedem Supermarkt, jeder Schule und jedem Rathaus. Wir werden innovative Formen der erneuerbaren Stromerzeugung wie integrierte Photovoltaik in der Gebäudehülle und auf landwirtschaftlichen Flächen gezielt fördern und neue strategische Energiepartnerschaften aufbauen."
40,Mit dem Umstieg auf erneuerbare Energien müssen wir Energie zugleich effizienter nutzen. Wir werden die Energieeffizienzziele und -standards weiterentwickeln.
41,"Seit Anfang 2021 gilt im Zuge des nationalen Emissionshandels ein CO2-Preis. In Kombination mit anderen Maßnahmen wie dem Umweltbonus beim Kauf eines Elektroautos oder Förderprogrammen zum Heizungstausch sorgt er dafür, dass klimafreundliche Alternativen attraktiver werden. Um den Einsatz erneuerbarer Energien im Verkehr und der Gebäudewärme zu unterstützen („Sektorenkopplung“), werden wir die EEG-Umlage in der bestehenden Form bis 2025 abschaffen und aus dem Bundeshaushalt finanzieren. Dazu dienen auch die Einnahmen aus der CO2-Bepreisung."
42,"Diese Maßnahme leistet auch einen Beitrag zur sozialen gerechten Finanzierung der Energiewende, weil dadurch die Stromrechnung deutlich sinkt. Wir werden dafür sorgen, dass Bürger*innen mit niedrigen Einkommen nicht ins Hintertreffen geraten. Wir werden prüfen, ob mit dem Ansteigen des CO2-Preises weitere Ausgleichsmaßnehmen – wie ein Pro-Kopf-Bonus – möglich werden."
43,"Auch der Gebäudesektor muss schrittweise CO2-neutral werden. Mit dem CO2-Preis wollen wir vor allem Investitionen lenken und Vermieter*innen zur Modernisierung motivieren. Gerade im Bestands-Mietwohnungsbau gibt es noch viel zu tun. Wir haben das Ziel, dass bis 2030 fünf Millionen Häuser über innovative Heiz- und Energiesysteme (z. B. Wärmepumpen) versorgt werden. Wir werden gesetzliche Regelungen schaffen, dass der CO2-Preis von den Vermieter*innen getragen wird. Dabei orientieren wir uns am Ziel der Warmmieten-Neutralität. Zugleich werden wir Investitionen in Wärmenetze und Quartierskonzepte staatlich fördern."
44,Wir werden mit einer langfristig angelegten Industriestrategie Planungssicherheit für den sozial-ökologischen Umbau unserer Wirtschaft schaffen. Diese Industriestrategie wird in Verbindung mit dem Green New Deal in eine gesamteuropäische Lösung eingebettet sein.
45,"Den Umstieg auf klimaschonende Produktionsprozesse werden wir durch direkte investitionsförderung staatlich unterstützen und die derzeitigen höheren Kosten von klimaschonenden Technologien ausgleichen; klima- und umweltschädliche Subventionen werden wir abbauen. Wir werden einen Markt für umweltfreundliche Ausgangsmaterialien schaffen. Die öffentliche Hand als großer Bauherr von Straßen und Gebäuden wird bis schrittweise immer mehr und ab 2030 ausschließlich klimaneutrale Grundmaterialien für Bauten beschaffen. Wir werden unsere Industrien sichern und die Verlagerung von Produktion und Emissionen ins Ausland durch maßgeschneiderte Instrumente unattraktiver machen. Außerdem werden wir dafür sorgen, dass für Unternehmen, die im internationalen Wettbewerb stehen, auch der Industriestrompreis wettbewerbsfähig ist."
46,"Mit Ressourcen werden wir nicht länger verschwenderisch umgehen. Wir werden unsere Wirtschaft zur Kreislaufwirtschaft umbauen. Die Menge an Abfall, die wir in Deutschland produzieren, muss deutlich weniger werden. Neben dem Recycling werden wir ein Rohstoffsicherungskonzept erarbeiten, um eine sichere Lieferung der für die umweltfreundliche Produktion nötigen Rohstoffe zu gewährleisten."
47,"Wir werden Schlüsselindustrien auf ihrem Weg zur Klimaneutralität unterstützen und konkrete Transformationsziele entwickeln und fördern. Wir werden Deutschland bis 2030 zum Leitmarkt für Wasserstofftechnologien machen – für die klimaneutrale Erzeugung von Stahl, für CO2-arme PKWs, LKWs und den Schiffs- und Flugverkehr."
48,"Zukunftsmission II. Modernstes Mobilitätssystem Europas Alle Bürger*innen müssen schnell, zuverlässig und klimafreundlich von A nach B gelangen können. Dafür denken wir Mobilität neu: Nachhaltig, bezahlbar, barrierefrei und verlässlich. Und immer mehr Bürger*innen steigen auf Bus, Bahn oder das Rad um. Dennoch bleibt das Auto für viele Menschen wichtig. Aber der Schadstoffausstoß wird auf null reduziert sein. Unsere Mission ist eine klimafreundliche Mobilität für alle."
49,"Wir werden die Verkehrswende voranbringen und bis 2030 das modernste und klimafreundlichste Mobilitätssystem Europas aufbauen. Das ist eine gesamtstaatliche Aufgabe, zu der die Bundesregierung ihren Beitrag leisten wird, die aber auch Länder und Kommunen in die Pflicht nimmt. Unser Ziel ist eine Mobilitätsgarantie: Jede*r Bürger*in – in der Stadt und auf dem Land - soll einen wohnortnahen Anschluss an den öffentlichen Verkehr haben. Dazu nutzen wir die Möglichkeiten der Digitalisierung: mit neuen Mobilitätsdienstleistungen, die vernetzte Mobilitätsangebote auf digitalen Plattformen nutzbar machen. Modelle wie das 365-Euro-Ticket oder Modellprojekte für einen ticketfreien Nahverkehr unterstützen wir."
50,"Wir werden einen Mobilitätsplan 2030 auf den Weg bringen, der den öffentlichen Personennahverkehr und den Schienenverkehr auf ein neues Niveau bringt. Der Bund wird durch Austauschprogramme seinen Beitrag leisten, damit alle neuen Busse und Bahnen bis 2030 in den Kommunen klimaneutral fahren und die vorhandenen Flotten modernisiert sind. Förderprogramme und ein geändertes Straßenverkehrsrecht sollen Kommunen dabei unterstützen, in Städten mehr Fläche für öffentlichen Verkehr, Fußgänger und Radfahrer zu schaffen. Wir werden den Straßenverkehr im Sinne der Vision Zero sicherer machen, insbesondere auch für die vielen Radfahrer*innen."
51,"An Knotenpunkten werden wir die Einrichtung von barrierefreien Mobilitätsstationen für nachhaltige urbane Mobilität fördern, damit möglichst viele vom Auto auf umweltfreundliche Verkehrsmittel umsteigen. Wir werden eine nationale Leitstelle Mobilität einrichten, die die Erarbeitung regionaler Mobilitätspläne unterstützt und eine frühzeitige Beteiligung vor Ort sicherstellt."
52,"Der Schienenverkehr ist ein Schwerpunkt unserer verkehrspolitischen Agenda bahnfahren soll innereuropäisch günstiger und attraktiver als Fliegen sein. Wir wollen rasch den Deutschlandtakt umsetzen und einen Europatakt aufbauen. Hierfür werden wir investieren: in den Aus- und Neubau des Schienennetzes, in den Lärmschutz und den Ausbau und die Attraktivitätssteigerung von Bahnhöfen. Wir haben das Ziel, alle Großstädte wieder ans Fernverkehrsnetz anzuschließen und neue schnelle Zug- und Nachtzugverbindungen in unsere Nachbarländer zu etablieren. Vor allem werden wir die Attraktivität des Nahverkehrs verbessern, durch Investitionen in das Angebot und die Qualität von Zügen und Bussen und durch die Reaktivierung alter Bahnstrecken. Wir werden engere, verlässliche Taktungen, komfortablere Züge mit flächendeckendem WLAN und eine Reservierungsmöglichkeit für Sitzplätze ermöglichen."
53,"Bis 2030 wollen wir mindestens 75 Prozent des Schienennetzes elektrifizieren, die Schiene weiter digitalisieren und für nicht elektrifizierte Strecken verbindliche Nutzungen wie den Einsatz von wasserstoffbetriebenen Zügen unterstützen. Die Deutsche Bahn AG ist für uns ein Garant verlässlicher Mobilität. Wir werden sie als integrierten Konzern in öffentlichem Eigentum erhalten. Mit der Verpflichtung zur Tariftreue, zum Personalübergang für alle Beschäftigten bei Betreiberwechsel und der Gewährleistung guter Arbeitsbedingungen im Vergaberecht werden wir Wettbewerbsverzerrungen durch Billiganbieter verhindern."
54,"Wir wollen, dass sich die Deutsche Bahn AG auf ihr Kerngeschäft des Transports von Personen und Gütern auf der Schiene konzentriert und auf gemeinwohlorientierte Ziele ausrichtet. Den Schienengüterverkehr wollen wir ausbauen und modernisieren. Wir werden in die Erneuerung und Digitalisierung von Loks und Waggons investieren. Wir werden die Kostennachteile der Schiene gegenüber der Straße parallel zum Kapazitätsaufbau im Schienengüterverkehr verringern. Die Potenziale unserer Wasserstraßen werden wir stärker nutzen, um mehr Güterverkehr von LKW auf die umweltfreundliche Binnenschifffahrt zu verlagern."
55,"Die Zukunft gehört den elektrischen Antrieben. Wir wollen diese Entwicklung aktiv gestalten, damit die Automobilindustrie Leitindustrie bleibt und die Zukunft der vielen kleinen und mittelständischen Zulieferer mit ihren Arbeitsplätzen gesichert ist. Wir wollen die Elektrifizierung des Verkehrs massiv voranbringen. 2030 sollen mindestens 15 Millionen PKW in Deutschland voll elektrisch fahren."
56,"Wir werden Deutschland zu einem Zentrum der Batteriezellenfertigung und des Recyclings gebrauchter Batterien machen. Im Schwerlastverkehr wird auch die Wasserstoff-Brennstoffzelle eine wichtige Rolle spielen. Die weitere Forschung hierzu werden wir unterstützen. Wir unterstützen die Automobil-Zulieferindustrie bei der Umstellung ihrer Produktionsprozesse und der Erschließung neuer Geschäftsfelder. Gemeinsam mit Sozialpartnern und lokalen Akteuren werden wir regionale Transformationscluster aufbauen, um neue, qualifizierte und gut bezahlte Beschäftigung in den Regionen zu schaffen."
57,Wir machen das Stromtanken so einfach wie bisher das Tanken von Benzin und Diesel. Den Fortschritt beim Ausbau der Ladesäulen für Elektroautos wollen wir vierteljährlich evaluieren und wo nötig mit Versorgungsauflagen und staatlichem Ausbau die notwendige verlässliche Erreichbarkeit von Ladepunkten herstellen.
58,"Wir werden ein Tempolimit von 130 km/h auf Bundesautobahnen einführen. Das schützt die Umwelt und senkt die Unfallzahlen deutlich. Zusätzlich werden wir Forschung, Entwicklung und Pilotprojekte vorantreiben, damit Schiffe, Flugzeuge und Laster kein klimaschädliches CO2 mehr ausstoßen. Wir verbinden das mit Projekten zum Aufbau einer umweltfreundlichen Wasserstoffwirtschaft."
59,"Zukunftsmission III. Digitale Souveränität in Deutschland und Europa Deutschland soll 2030 über eine digitale Infrastruktur auf Weltniveau verfügen, über eine vollständig und durchgängig digitalisierte Verwaltung und ein Bildungssystem, in dem für das Leben in einer digitalen Welt gelernt werden kann. Die Selbstbestimmung der Bürger*innen ist unser Leitbild, damit die Digitalisierung allen zugutekommen kann."
60,"Ein schneller, sicherer und bezahlbarer Internetzugang ist im 21. Jahrhundert unverzichtbar. In den 2020er Jahren muss Deutschland zur “Gigabit-Gesellschaft” werden. Gerade mittelständische Unternehmen im ländlichen Raum, die oft global agieren, sind auf schnelles Internet angewiesen, um wettbewerbsfähig zu bleiben. Um dieses Versprechen einzuhalten, werden wir die Versorgung aller Haushalte und Unternehmen mit einer Bandbreite von mindestens einem Gigabit pro Sekunde garantieren durch konkrete, gesetzlich festgelegte Ausbau- und Versorgungsverpflichtungen und entsprechende Zwischenziele. Hier stehen auch die Netzbetreiber in der Verantwortung."
61,"Unser Ziel ist ein moderner, bürgernaher Staat, der allen Bürger*innen einen einfachen, digitalen Zugang zu seinen Dienstleistungen bietet. Wir werden daher die Verpflichtung von Bund, Ländern und Kommunen zur Bereitstellung digitaler Verwaltungsdienstleistungen ausbauen, damit alle Verwaltungsleistungen möglichst schnell auch digital verfügbar sind. Jede* Bürger*in soll ohne Zusatzkosten und Extrageräte die Möglichkeit haben, diese Leistungen freiwillig und datenschutzkonform mit einer digitalen Identität zu nutzen. Wer Anspruch auf eine Leistung hat, muss sie automatisch ohne einen gesonderten Antrag bekommen. Öffentlich finanzierte Software sollte wo möglich als Open-Source transparent entwickelt und öffentlich zugänglich gemacht werden."
